threshold,tp,fp,fn,tn,recall,precision,pred_pos_rate
0.7135678391959799,0,0,330,15133,0.0,0.0,0.0
0.7185929648241206,0,0,330,15133,0.0,0.0,0.0
0.7236180904522613,0,0,330,15133,0.0,0.0,0.0
0.7286432160804021,0,0,330,15133,0.0,0.0,0.0
0.7336683417085427,0,0,330,15133,0.0,0.0,0.0
0.7386934673366834,0,0,330,15133,0.0,0.0,0.0
0.7437185929648241,0,0,330,15133,0.0,0.0,0.0
0.7487437185929648,0,0,330,15133,0.0,0.0,0.0
0.7537688442211056,0,0,330,15133,0.0,0.0,0.0
0.7587939698492463,0,0,330,15133,0.0,0.0,0.0
0.7638190954773869,0,0,330,15133,0.0,0.0,0.0
0.7688442211055276,0,0,330,15133,0.0,0.0,0.0
0.7738693467336684,0,0,330,15133,0.0,0.0,0.0
0.7788944723618091,0,0,330,15133,0.0,0.0,0.0
0.7839195979899498,0,0,330,15133,0.0,0.0,0.0
0.7889447236180904,0,0,330,15133,0.0,0.0,0.0
0.7939698492462312,0,0,330,15133,0.0,0.0,0.0
0.7989949748743719,0,0,330,15133,0.0,0.0,0.0
0.8040201005025126,0,0,330,15133,0.0,0.0,0.0
0.8090452261306533,0,0,330,15133,0.0,0.0,0.0
0.8140703517587939,0,0,330,15133,0.0,0.0,0.0
0.8190954773869347,0,0,330,15133,0.0,0.0,0.0
0.8241206030150754,0,0,330,15133,0.0,0.0,0.0
0.8291457286432161,0,0,330,15133,0.0,0.0,0.0
0.8341708542713568,0,0,330,15133,0.0,0.0,0.0
0.8391959798994975,0,0,330,15133,0.0,0.0,0.0
0.8442211055276382,0,0,330,15133,0.0,0.0,0.0
0.8492462311557789,0,0,330,15133,0.0,0.0,0.0
0.8542713567839196,0,0,330,15133,0.0,0.0,0.0
0.8592964824120604,0,0,330,15133,0.0,0.0,0.0
0.864321608040201,0,0,330,15133,0.0,0.0,0.0
0.8693467336683417,0,0,330,15133,0.0,0.0,0.0
0.8743718592964824,0,0,330,15133,0.0,0.0,0.0
0.8793969849246231,0,0,330,15133,0.0,0.0,0.0
0.8844221105527639,0,0,330,15133,0.0,0.0,0.0
0.8894472361809045,0,0,330,15133,0.0,0.0,0.0
0.8944723618090452,0,0,330,15133,0.0,0.0,0.0
0.8994974874371859,0,0,330,15133,0.0,0.0,0.0
0.9045226130653267,0,0,330,15133,0.0,0.0,0.0
0.9095477386934674,0,0,330,15133,0.0,0.0,0.0
0.914572864321608,0,0,330,15133,0.0,0.0,0.0
0.9195979899497487,0,0,330,15133,0.0,0.0,0.0
0.9246231155778895,0,0,330,15133,0.0,0.0,0.0
0.9296482412060302,0,0,330,15133,0.0,0.0,0.0
0.9346733668341709,0,0,330,15133,0.0,0.0,0.0
0.9396984924623115,0,0,330,15133,0.0,0.0,0.0
0.9447236180904522,0,0,330,15133,0.0,0.0,0.0
0.949748743718593,0,0,330,15133,0.0,0.0,0.0
0.9547738693467337,0,0,330,15133,0.0,0.0,0.0
0.9597989949748744,0,0,330,15133,0.0,0.0,0.0
0.964824120603015,0,0,330,15133,0.0,0.0,0.0
0.9698492462311558,0,0,330,15133,0.0,0.0,0.0
0.9748743718592965,0,0,330,15133,0.0,0.0,0.0
0.9798994974874372,0,0,330,15133,0.0,0.0,0.0
0.9849246231155779,0,0,330,15133,0.0,0.0,0.0
0.9899497487437187,0,0,330,15133,0.0,0.0,0.0
0.9949748743718593,0,0,330,15133,0.0,0.0,0.0
1.0,0,0,330,15133,0.0,0.0,0.0
